name,corpus,text,date,region,category
1,birchbark,# (с) #остер# (села) #[и]ю ӏ ѳомѣ шло ӏ (дару ӏ п)озема трицать ӏ три бл(ѣ) [а] с лути(ѧнова села шло ӏ п)озема ӏ дару (по бѣл)кѣ а сменова села шло(ӏ по)зема ӏ д(ару) # блъ ӏ полоть а с #ина села шло ӏ поземаӏ дару ·м· блъ ӏ # (а с) #[ик]#ина села шло [ӏ] (позе)ма ӏ дару ·к· блъ ӏ шесть блъа с васильѥва с[е](ла ·)#(· бл)ъ а [с] #руньского села (шло ·)к· блъ дару а с овсѣѥва села шло ·к· блъ дару а шадрина села шло ·к· блъ дар(у с о)[с]ипова села ӏ позема ӏ дару шло ·м· блъ безъ дву с ошвина села шло (д)ару ·к· блъ у гаѳанова селашло ӏ позема ӏ дару ·л· блъ без дво а з бабинихъ (се)ла шло ӏ позема ӏ дару ·л· блъ(а с) # (села шло ӏ) позема ӏ дару шесть десѧтъ блъ ӏ полоть а хариѧнова се(ла шло дару) # (а с) #мохова села шло дару ·к· блъ а сменова стан[у] ӏѥву(шло) # (бѣ)[л]ка ѳомѣ ·д· каци солоду # [ѻ̈вс]а [·л·] кадець ·в· ка(ци) # (·) # (· ка)ци рж(и) #ружиного шло с# по бѣлкѣ,1380‒1400,Новгород,деловые записи
10,birchbark,есть градъ · межу нобомъ и землею а к ному еде посолъ безъ пути ·самъ нимъ везе грамоту непсану ·,1360‒1380,Новгород,литературные и фольклорные тексты
1000,birchbark,ѿ къѧса ї ѿ жироцька къ твьрдѧте ї къ їваноустова ти есве,1140‒1160 (с вероятным смещением назад),Новгород,письма
1001,birchbark,#а семоке алѧ по[с]леде не жѧлоуӏта оже вапродаженике поӏде,1140‒1160 (с вероятным смещением назад),Новгород,письма
1002,birchbark,# на чьлѧди [вь]вьричь не [п]лат[и]л[е]:е: на дьсѧте гривьно ѧ нꙑньково ѧли по коунь на ньдьлоу а нꙑнꙑ #,1140‒1160 (с вероятным смещением назад),Новгород,письма
1003,birchbark,# (оспо)жино дене лоубо#омоти#[е]#,1140‒1160 (с вероятным смещением назад),Новгород,фрагменты неопределенного содержания
1004,birchbark,+ ѿ лоукꙑ къ ѿтьцеви : то ти : не въдало наїмить ӏже томѧ везе:ль : на кожахъ вевѣрице : а продалъ ти есемоемоу на ѕ҃сти ногатъ сковородъ : то ти пълънѣ в҃е : а ӏдетьти во лодие съ товаромо воземи же ѫ него в҃е гривене : али ти сѧ ӏзмотаеть : а моловиво емоу поусти же ї во три+ ѿ лоуа то гоїмере аӏже то чьрени[г]ове со женоюне поменю їмѧа се ти ї҃ ре ьзаносо берестомо,1140‒1160 (с вероятным смещением назад),Новгород,письма
1005,birchbark,× ѿ лоукѣ: покланѧн[и](е ко оть)цьви : то ти вино съ лоук[о вь]з[л]а :в҃: а стьклѧниць ти л҃те :: а сама ти сѣдивь на лоуках[о] # (к)осогорѫ п[р]осѧ по пѧ[ти на] десѧте кѫнъ а изѫмѣла сѧ есвѣ : ѿ бьрьковьск[а] : [а] во[лоца](н)[о] #҃ #,1140‒1160 (с вероятным смещением назад),Новгород,письма
1006,birchbark,× ѿ лоукь грамота ко ѿтечьви то ти товозово осмь на десѧть коуно ӏ в҃ гривенѣ ӏ со провозомоа семоу водаӏ осмь ногато,1140‒1160 (с вероятным смещением назад),Новгород,письма
1007,birchbark,ѿ сновида грамота къ соулѧтѣ ѿшелѣ ти есме #седьла стрѣлъ скорене оуздѣ оти пътаеть коул#,1140‒1160 (с вероятным смещением назад),Новгород,письма
1009,birchbark,(ѿ) [лѫкꙑ и] отъ иванна къ сновидѫ сторова ти есвѣ ѫже ти сѧ есвѣ под[ъ](п)р[од]ала а товара ти есвѣгрьчьскаго не кѫпила а товарьча напꙑтаи заморьскаго,1140‒1160 (с вероятным смещением назад),Новгород,письма
101,birchbark,поклоно к огну к он# #гнь · не родилсѧ · а в ж# #зобити тои и се мот# # (по твое)му слову · а гну сѣи е гн#,1340‒1360,Новгород,письма
1011,birchbark,# (на) [иг]олахо поло пѧте резанѣ на ножѧхо пол# [дьвѧ]тѣ коунѣ : на ожерьлиѧхо поло шесть [к]#,1140‒1160 (с вероятным смещением назад),Новгород,деловые записи
1012,birchbark,(ѿ) # (покланѧ)[н]ие [:] к отьцеви сторово ти есм[ь :] а товар#ъ : а сам[ъ] ти ногатѣ коплѫ : [в]ꙑмьток#[:] (а) [къи] н[и е] # ко сновидо[ви] а самь ти грьц[ь]ника жидоу,1140‒1160 (с вероятным смещением назад),Новгород,письма
1014,birchbark,#[и]мь ти отъ зоу [ос]м[ию на] д[е]# (ко)[у]н[ахъ] а идеши къ соли а та#тъгꙑд[ъ]#,1140‒1160 (с вероятным смещением назад),Новгород,письма
1015,birchbark,# ѧк[ъ]ша с[оль]мирцоу · а коуплено ти по цетꙑри коун#,1140‒1160 (с вероятным смещением назад),Новгород,деловые записи
1016,birchbark,#стити радослава проче настави[д]еские въправи куне на немо,1240‒1260,Новгород,письма
1017,birchbark,дворъ продаи#на паробке в#покланѧни ѿ#лите детѧ п#,1240‒1260 (с вероятным смещением назад),Новгород,письма
102,birchbark,поклоно  #ѥси · велиле верше · имати · творѧце · ӏ виновати · ꙩдину · три коробѣ·ӏ оув ꙑванка · оузѧле · староста · ꙩлескандрова · погостабѣѥть · целомь · сто бꙑ ѥси · господине · ꙩкупиле · ӏ(хъ ӏ с)лово положиле · со мною · аже ти · # · ꙩкупити · ӏхъ · тꙑ ꙩтошли · #,1340‒1360,Новгород,письма
1020,birchbark,ѿ олькшѣ :· къ жѧдѣнꙋ : вере[ш]ь:въдае : оу хотъсла:ва ми бꙑло гривнвъзѧти : а творѧть и пеставивъшеа вꙑправита : коровꙋ : повѣдаю оу него :,1160‒1180 (с вероятным смещением вперёд),Новгород,письма
1021,birchbark,+ а заплачьно на бьль пло пѧта дьсѧть и двь ногать моѧ ·:·а борись заплатиль сороко гривно и :д҃: гривнь и пло шьсть куонь ·:· а бьль вохои :г҃: тꙑсѧчь и пло трьтиѧ сорочка бь#,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1022,birchbark,[+ хс҃ъ] : въскрьсъмьртию на съмьрть настоупи сихаилъ англ҃ъ : сихаилъ англъсихаилъ анл҃ъ : проганѧеть тѧ г҃ь злаѧболѣзни трѧсавице,1160‒1180 (с вероятным смещением вперёд),Новгород,литературные и фольклорные тексты
1023,birchbark,+ уо стоють осталѣно сьмьно поло одинои на дьсѧть дьжь овьса ·:· а бобуо :з҃: мьро ·:··:· а горохуо пло пть мьрь ·:· а жита :ф҃: мьро ·:· а лнѧнаго сьмьни :з҃: мьрь ·:· а уо наслава уо поповича два бьрковьска соли а по дьсѧти кно ажь боль возмь а бьма алимьнь возмь а бьма ·:· уо ньжать уо хуодочьвича ·д҃: дьжь овьса на водмоль ·:· и рожи ньтьпьно пло стога стога :е҃: дьжь овса уо наслва бьз Вуо мьруо,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1024,birchbark,+ а жита восьѧно ѿ с[т]авинь жи[то] #а трьтиѧѧ ѿ о[ль]кшь привьзьна : а :д҃:ѧ ѿ зуоѧ привьна#а вьса :д҃: дьжи ѿ ньжѧть привьзно : а ѿ #дьж#,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1025,birchbark,#[чи] а #[тин]а своѧка а мати ти[зн]а[е]т[ь] и ѧкиме сь а къде ти пакъ покажеть #,1180‒1200 (с вероятным смещением назад),Новгород,письма
1026,birchbark,ѿ нежиле къ сьмъке · [се ес]# [де]ѧ#(о)[у] · а ѧзъпоѧле девъкоу твою · оли девъка · хрома · а в[е]зи ко[моеи] #отъ нежилекъ сьмъке,1160‒1180 (с вероятным смещением назад),Новгород,письма
1027,birchbark,# а жита ·ӏ҃· дь[ж]#уо стоють пло джь #,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1029/980,birchbark,+ уо жирослава :ѕ҃:: уо муожа возѧль кадь : уо лазорѧ кадь :: уо иванка кдь уо попа :: уо ньсдь кдь :(уо) #тковье кадь : уо настасие :#҃: кад[ч]ь уо сьмьюнье кдь : уо коскинье :в҃: кади :: уо ньжи :д҃: кди,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
103,birchbark,покланѧ ѿ завида ко ѳ# #ѧ пожь возми коро[в]# #ги во [сь] грив[ь]н[о](у) #,1200‒1220,Новгород,письма
1030,birchbark,# [д]ьжь и пло т[рь]#дьжь а то во т[р]#,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1031,birchbark,отъ нѣжька къ боудъкоу : цемоу дьрьжиши коунѣ а ѧ на то[бѣ е]млю [к]оун[ѣ]оу хотоурѣ еси казалъ атъ не въделе : съ гюръкъм[ъ еси] п[ри]сълалеа те не въдале ·ӏ҃·: грв҃нъ : лежить въ трет[ь] пар[об]ъкъ еси одь[р]ьнь въдале а нꙑнѣ сѧ вꙑпирае на пѧти грв҃нъ а п[ро]мꙑшлеито ли твоѧ бологодѣть мнѣ [ц]ьто ми соулиѧб#мъ[е]моу[х]отоупо[р]#намоуисемоусвомоу[сꙑн]#[в]#зальг#,1160‒1180 (с вероятным смещением вперёд),Новгород,письма
1032,birchbark,+ а сь на вомоль на ·к· лко бь сти #,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1033,birchbark,а уо [ло]# (бьр)ковьскь уо стараголуобо :е҃: кно возми а лѧх ти зн[ае],1180‒1200 (с вероятным смещением назад),Новгород,письма
1034,birchbark,# пѧть на [д](вуо) пуодуо п:е҃: куоно [и г]рн[а]и ·в· вькшь #ць,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1037,birchbark,а ѧкуонѧ жита пѧтьдьсѧ мьро и :в҃: мьркь,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
1039,birchbark,#[ѧ]но в(да)ль :ѳ҃: кно и двь :· а во м[оло]дищь :в҃: вдали,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
104,birchbark,# а землѧ [г](н҃)е самасѧ ꙩкупить твоимъ здоровиѥмъ,1360‒1380,Новгород,письма
1040,birchbark,+ а сь на :ѕ҃: пуодово :г҃: рьзнь и сроко,1180‒1200 (с вероятным смещением назад),Новгород,деловые записи
