Book_Filename,Lines,Tokens
Gen.text,1534,50742
Ex.text,1084,39279
Lev.text,859,30049
Num.text,1289,39469
Deut.text,959,35972
Josh.text,661,25458
Judg.text,618,25178
Ruth.text,85,3477
I_Kings.text,811,34621
II_Kings.text,695,28232
III_Kings.text,815,33320
IV_Kings.text,719,31036
I_Paral.text,942,27881
II_Paral.text,823,34788
I_Esdra.text,280,8982
II_Esdra.text,442,14031
Tobit.text,244,8869
Judith.text,340,13877
Esther.text,166,9068
Job.text,1069,22408
Psalm.text,2600,54174
Prov.text,921,17561
Eccles.text,222,6846
Song.text,116,3201
Wisd.text,440,11218
Sirach.text,1524,30104
Isa.text,1291,43555
Jerem.text,1364,52189
Lamen.text,155,4213
Baruch.text,141,4133
Ezek.text,1273,48750
Dan.text,530,18765
Hos.text,197,6565
Joel.text,73,2455
Amos.text,146,5122
Obad.text,21,739
Jona.text,48,1724
Mica.text,105,3705
Nahum.text,47,1474
Habak.text,56,1730
Zeph.text,53,1959
Hagg.text,38,1454
Zech.text,211,8069
Mal.text,55,2405
I_Macc.text,925,28708
II_Macc.text,558,17649
III_Macc.text,181,7662
Mt.text,1071,31093
Mk.text,678,20180
Lk.text,1151,32698
Jn.text,879,28000
Acts.text,1006,30111
Jas.text,108,2808
I_Pet.text,105,2935
II_Pet.text,61,1715
I_Jn.text,105,3581
II_Jn.text,13,416
III_Jn.text,15,347
Jude.text,25,814
Rom.text,433,11852
I_Cor.text,437,11625
II_Cor.text,255,7450
Gal.text,149,3757
Eph.text,155,3825
Philip.text,104,2953
Col.text,95,2640
I_Thess.text,89,2451
II_Thess.text,47,1375
I_Tim.text,113,2865
II_Tim.text,83,2171
Tit.text,46,1173
Philemon.text,25,617
Heb.text,303,8129
Apoc.text,404,15332
