Filename,Lines,Tokens
agofonushka.txt,70,483
alesha_i_tugarin.txt,194,1524
alesha_popovich_i_tugarin.txt,85,571
bunt_ilii_muromca_protiv_vladimira.txt,79,502
churil_plenkovich.txt,278,2138
churila_i_katerina.txt,149,1182
danila_lovchanin.txt,228,1580
dobrinia_i_marinka.txt,103,797
dobrinia_i_marinka_varianti.txt,261,1821
dobrinia_i_zmei.txt,56,444
dobrinia_nikitich_ego_zena_i_alesha.txt,643,4838
dobrunia_i_smei.txt,340,2460
duc_stepanovich.txt,557,4253
dunai_ivanovich.txt,383,3323
gleb_i_marinka.txt,187,1790
hoten_bludovich.txt,296,2282
idolishe_svataet_plemianizu.txt,131,1158
ilia_muromec_ermak_i_kalin_tsar.txt,177,1178
ilia_muromec_ermak_i_kalin_tsar_varianti.txt,53,377
ilia_muromec_i_kalin_tsar.txt,632,4685
ilia_muromec_i_kalin_tsar_varianti.txt,91,638
ilia_muromec_i_sin.txt,351,2850
ilia_muromec_i_sin_varianti.txt,243,1912
ilia_muromec_i_sviatogor.txt,224,1651
ilia_muromec_k_idolishe.txt,162,1311
ilia_muromec_s_bogatiriami.txt,79,512
ilia_muromec_s_bogatiriami_na_sokole_korable_varianti.txt,34,249
ilia_muromec_v_ssore_s_vladimirom.txt,122,985
ilia_muromec_v_ssore_s_vladimirom_varianti.txt,70,592
iscelenie_ilii_muromca.txt,55,512
ivan_godinovich.txt,192,1325
ivan_gostiniy_sin.txt,302,2305
kamskoe_poboishe_varianti.txt,94,820
kamskoye_poboishe.txt,306,2660
konstantin_saulovich-varianti.txt,83,560
konstantin_saulovich.txt,292,1935
korolevichi_iz_kriakova.txt,171,1262
lovlia_filina.txt,33,180
mihailo_kozarin.txt,217,1593
mihailo_potic.txt,424,3169
mixailo_danilovich.txt,384,4345
mixailo_danilovich_varianti.txt,114,747
naezd_litovcev.txt,239,1511
nebilica_pro_schuku.txt,42,342
nebilica_v_licah.txt,31,219
sadko.txt,597,5589
smert_vasilia_buslaeva.txt,267,1963
solovei_budimirovich.txt,285,2398
sorok_kalic.txt,234,1652
starina_nebivalshina.txt,43,290
starina_o_bolshom_bike.txt,190,1190
starina_o_ldine.txt,20,183
stever_godinovich.txt,406,3117
suhman.txt,197,1219
suhman_varianti.txt,67,398
tri_poezdki_ilii_muromca.txt,120,829
tzar_soloman_I_vasilii.txt,270,1978
vasili_ignatievish_i_batiga.txt,198,1593
vasilii_buslaev_i_novgorodci.txt,275,1581
vasilii_kazimirovich_i_dobrinia.txt,232,2018
vaska_pianica_i_kudrevenko_tzar.txt,235,2091
vaska_pianica_i_kudrevenko_tzar_varianti.txt,215,1818
vavilo_i_skomorochi.txt,210,1436
volga_i_mijula.txt,194,1352
volh_vselavovich_varianti.txt,147,959
volh_vseslaviech.txt,199,1298
