Имя_файла,Количество_токенов,Размер_символов
10_ilia_muromets_i_kain.txt,1365,6925
11_to_zhe.txt,2663,13429
12_to_zhe.txt,1064,5328
13_ilia_u_tzara_vasilieva_bogolubleva.txt,1209,5919
14_ilia_muromec_i_kuzma.txt,1043,5137
15_ilia_muromec_i_dobrynia_nikitich.txt,811,4187
16_ilia_s_dobryney_na_sokole_korable.txt,527,2511
17_to_zhe.txt,148,798
18_dobrynia.txt,282,1411
19_to_zhe.txt,117,624
1_ilia_muromec_pervaya_poezdka_v_kiev.txt,1713,8737
20_alesha_popovich_i_skim_zver.txt,254,1115
21_dobrynia_nikitich_i_otec_ego.txt,2650,13417
22_dobrynia_v_otezde.txt,534,2591
23_dobrynia_i_marina.txt,418,1977
24_to_zhe.txt,366,1715
25_to_zhe_nachalo.txt,215,1199
26_to_zhe.txt,515,2580
27_dobrynia_nikitich_svodnaya.txt,1885,9254
28_alesha_popovish_i_ekim.txt,1132,5663
29_alesha_popovish_i_tugarin.txt,1169,5362
2_to-zhe.txt,184,944
30_alesha_popovish_nachalo.txt,123,675
31_alesha_popovich_i_ilia_muromec.txt,4149,20541
3_vstrecha_s_razboynikami.txt,239,1126
4_to_zhe.txt,255,1131
5_ilia_muromec_i_solovei_razboynik.txt,1084,5785
6_3_poezdki+ilii_muromca.txt,963,4850
7_ilia_muromec_svodnaya_bilina.txt,1632,8151
8_ilia_muromec_i_mamay.txt,2342,11413
9_ilia_muromec_i_tzar_kalin.txt,1088,5475
