id,url,city_slug,title,city,date,content,original_text_raw,original_text_spaced,translation_ru,translation_en_1,translation_en_2,unique_id
1,https://gramoty.ru/birchbark/document/show/novgorod/1/,novgorod,Грамота №1,Новгород,1380‒1400,Роспись доходов с нескольких сел,---(с)-остер…(села)…[и]юӏѳомѣшлоӏ(даруӏп)озематрицатьӏтрибл (ѣ)[а]слути(ѧноваселашлоӏп)оземаӏдару(побѣл)кѣасменоваселашло (ӏпо)земаӏд(ару)----------блъӏполотьас-----инаселашлоӏпозема ӏдару·м·блъӏ…(ас)…[ик]---инаселашло[ӏ](позе)маӏдару·к·блъӏшестьблъ асвасильѥвас[е](ла·-·бл)ъа[с]--руньскогосела(шло·)к·блъдаруасовсѣѥвасел ашло·к·блъдаруашадринаселашло·к·блъдар(усо)[с]иповаселаӏпоземаӏда рушло·м·блъбезъдвусошвинаселашло(д)ару·к·блъблъугаѳановасела шлоӏпоземаӏдару·л·блъбездвоазбабинихъ(се)лашлоӏпоземаӏдару·л·блъ (ас------селашлоӏ)поземаӏдарушестьдесѧтъблъӏпололотьахариѧновасе (лашлодару)…(ас)…моховаселашлодару·к·блъасменовастан[у]ӏѥву (шло-----------бѣ)[л]каѳомѣ·д·кацисолоду-[ѻ̈вс]а[·л·]кадець·в·ка (ци----------·-·ка)цирж(и)--ружиногошлос… … побѣлкѣ,--- (с) -остер… (села) …[и]ю ӏ ѳомѣ шло ӏ (дару ӏ п)озема трицать ӏ три бл‐ (ѣ) [а] с лути(ѧнова села шло ӏ п)озема ӏ дару (по бѣл)кѣ а сменова села шло (ӏ по)зема ӏ д(ару) ---------- блъ ӏ полоть а с -----ина села шло ӏ позема ӏ дару ·м· блъ ӏ … (а с) …[ик]---ина села шло [ӏ] (позе)ма ӏ дару ·к· блъ ӏ шесть блъ а с васильѥва с[е](ла ·-· бл)ъ а [с] --руньского села (шло ·)к· блъ дару а с овсѣѥва сел‐ а шло ·к· блъ дару а шадрина села шло ·к· блъ дар(у с о)[с]ипова села ӏ позема ӏ да‐ ру шло ·м· блъ безъ дву с ошвина села шло (д)ару ·к· {блъ} блъ у гаѳанова села шло ӏ позема ӏ дару ·л· блъ без дво а з бабинихъ (се)ла шло ӏ позема ӏ дару ·л· блъ (а с ------ села шло ӏ) позема ӏ дару шесть десѧтъ блъ ӏ по{ло}лоть а хариѧнова се‐ (ла шло дару) … (а с) …мохова села шло дару ·к· блъ а сменова стан[у] ӏѥву (шло ----------- бѣ)[л]ка ѳомѣ ·д· каци солоду - [ѻ̈вс]а [·л·] кадець ·в· ка‐ (ци ---------- ·-· ка)ци рж(и) --ружиного шло с… … по бѣлкѣ,,,,novgorod_1
1,https://gramoty.ru/birchbark/document/show/staraya-russa/1/,staraya-russa,Грамота № Ст. Р. 1,Старая Русса,1380‒1400,Начало завещания,`+сеазорабо,`+ се азо рабо,,,,staraya-russa_1
1,https://gramoty.ru/birchbark/document/show/torzhok/1/,torzhok,Грамота № Торж. 1,Торжок,1075‒1100,Упражнение в письме,нопр,н о п р,,,,torzhok_1
1,https://gramoty.ru/birchbark/document/show/smolensk/1/,smolensk,Грамота № Смол. 1,Смоленск,1180‒1200,Фрагмент письма,поклане[н](ие)… в[л]епоп[е]…,поклане[н](ие) … в[л]епоп[е]…,,,,smolensk_1
1,https://gramoty.ru/birchbark/document/show/pskov/1/,pskov,Грамота № Пск. 1,Псков,1180‒1200,Фрагмент делового письма,…[ꙑжоу] …оли …солю:де …,…[ꙑжоу] …оли …солю : де‐ …,"{Возможная реконструкция:} ‛[пошли] Давыдову [гривну], если [не дашь], отправлю [к тебе] детского’",,,pskov_1
1,https://gramoty.ru/birchbark/document/show/tver/1/,tver,Грамота № Твер. 1,Тверь,1200‒1220 (с вероятным смещением назад),От Станимира к Михалу Домажировичу (предложение удовлетвориться половиной суммы долга),ѿстанимирапоклонокомихалоукодомажиро вицоухоцешивозѧтиполовиноукоуноѧпороуценеотецеветво емоупоиваноканехоцешилидаѧболенемогоуводат(и),ѿ станимира поклоно ко михалоу ко домажировицоу хоцеши возѧти половиноу коуно ѧ пороуцене отецеве твоемоу по иванока не хоцеши ли да ѧ боле не могоу водат(и),"‛От Станимира поклон Михалу Домажировичу. Если хочешь взять половину денег, [то я заплачу] — я поручитель перед твоим отцом за Иванка. Если же не хочешь, так я [все равно] больше дать не могу’.","From Stanimir greetings to Mikhail Domazhirovich. If you want to collect half of the money, [then I will pay, since] I am the guarantor (poruchitel’) for Ivanko for your father. Even if [you] don’t want [it to be so (i.e., for me to pay only half)], I [still] cannot pay more to you.",,tver_1
1,https://gramoty.ru/birchbark/document/show/moscow/1/,moscow,Грамота № Мос. 1,Москва,1410‒1420 (с вероятным смещением назад или вперёд),Правая грамота,(си)судсудл-… …ѧдав… …нович… …[а]иска… …оӏло… …ӏобрт… …гн҃епо… …дгн҃е… …есту… …ӏи… …оӏов… …такрек… ит… …аи-… исуд… …брн…,(си) суд судл- … …ѧ дав… …нович … …[а] иска… …оӏло… … ӏ о брт … … гн҃е по… …д гн҃е … …ес ту… …ӏ и… …о ӏ ов… … так рек … и т… …аи-… и суд… …брн…,,,,moscow_1
1,https://gramoty.ru/birchbark/document/show/staraya-ryazan/1/,staraya-ryazan,Грамота № Ст. Ряз. 1,Старая Рязань,1200‒1220 (с вероятным смещением назад или вперёд),Фрагмент неопределенного содержания,…[л]уг[и]… …[д]ѣко…,…[л]уг[и]… …[д]ѣко…,"{Как один из вариантов можно допустить такое разделение на слова: [л]уг[и] (бу)[д]ѣ ко…, где первое слово — производное от «луг», во второй строке — производное от глагола «быть» с ѣ вместо е, ко — предлог (Медынцева 2005).}",,,staraya-ryazan_1
1,https://gramoty.ru/birchbark/document/show/zvenigorod/1/,zvenigorod,Грамота № Звен. 1,Звенигород Галицкий,1120‒1140,«… а мне не надобно»,(…) …ънъамънене[н]адобесем[о]ч… (…),(…) …ънъ а мъне не [н]адобе сем[о] ч… (…),‛… а мне не нужно сюда … {(может быть: что-либо присылать)}’.,,,zvenigorod_1
1,https://gramoty.ru/birchbark/document/show/vitebsk/1/,vitebsk,Грамота № Вит. 1,Витебск,1280‒1300,От Степана к Нежилу (просьба купить ячменя),ѿстьпанаконежиловиожеесипро далопортꙑакоупимижитаза ·ꙅ҃·гривеноалицегоесинепро далоапослимилицемеалиеси продалоадобросътворѧоу коупимижита,ѿ стьпана ко нежилови оже еси продало портꙑ а коупи ми жита за ·ꙅ҃· гривено али цего еси не продало а посли ми лицеме али еси продало а добро сътворѧ оукоупи ми жита,"‛От Степана к Нежилу. Если ты продал одежду, купи мне ячменя на 6 гривен. Если же чего-нибудь еще не продал, то пошли мне сами эти вещи. Если же продал, сделай милость, купи мне ячменя’.",,,vitebsk_1
