text,century,city,year
состер... села ...ию ӏ ѳомѣ шло ӏ дару ӏ позема трицать ӏ три блѣ а с лутиѧнова села шло ӏ позема ӏ дару по бѣлкѣ а сменова села шло ӏ позема ӏ дару блъ ӏ полоть а с ина села шло ӏ позема ӏ дару ·м· блъ ӏ ... а с ...икина села шло ӏ позема ӏ дару ·к· блъ ӏ шесть блъ а с васильѥва села ·-· блъ а с руньского села шло ·к· блъ дару а с овсѣѥва села шло ·к· блъ дару а шадрина села шло ·к· блъ дару с осипова села ӏ позема ӏ дару шло ·м· блъ безъ дву с ошвина села шло дару ·к· блъ у гаѳанова села шло ӏ позема ӏ дару ·л· блъ без дво а з бабинихъ села шло ӏ позема ӏ дару ·л· блъ а с села шло ӏ позема ӏ дару шесть десѧтъ блъ ӏ полоть а хариѧнова села шло дару ... а с ...мохова села шло дару ·к· блъ а сменова стану ӏѥву шло бѣлка ѳомѣ ·д· каци солодуѻ̈вса ·л· кадець ·в· каци ·-· каци ржи ружиного шло с... ... по бѣлкѣ,XIV_2,novgorod,1390
`+ се азо рабо,XIV_2,staraya-russa,1390
н о п р,XI_2,torzhok,1087
покланение ... влепопе...,XII_2,smolensk,1190
...ꙑжоу ...оли ...солю : де‐ ...,XII_2,pskov,1190
ѿ станимира поклоно ко михалоу ко домажировицоу хоцеши возѧти половиноу коуно ѧ пороуцене отецеве твоемоу по иванока не хоцеши ли да ѧ боле не могоу водати,XIII_1,tver,1210
си суд судл- ... ...ѧ дав... ...нович ... ...а иска... ...оӏло... ... ӏ о брт ... ... гн҃е по... ...д гн҃е ... ...ес ту... ...ӏ и... ...о ӏ ов... ... так рек ... и т... ...аи-... и суд... ...брн...,XV_1,moscow,1415
...луги... ...дѣко...,XIII_1,staraya-ryazan,1210
... ...ънъ а мъне не надобе семо ч... ...,XII_1,zvenigorod,1130
ѿ стьпана ко нежилови оже еси продало портꙑ а коупи ми жита за ·ꙅ҃· гривено али цего еси не продало а посли ми лицеме али еси продало а добро сътворѧ оукоупи ми жита,XIII_2,vitebsk,1290
...нице полу патꙑ гривн иниосмь на д... ...,XIII_1,mstislavl,1210
г·ѧ·ково к тобѣ к тобѣ сѧ : ·ꙩнанико тьсть брать ·ꙩ·стафе : посла·лъ с тобою ѥмь рубле : · ко самълу · рубле : ни мнѣ рубл:ѧ: ни мнѣ проторъвъ,XIV_1,vologda,1330
... разумну · о брат врѣм бѣгаӏ бежи невѣриѧ быша при ...,XV_2,pereyaslavl-ryazansky,1475
мѣкꙋѥвь бѣла росомꙋха ꙋ фомѣ ·г҃· кꙋници ꙋ мики ·в҃· кꙋници ꙋ фомѣ сохꙋдаль · дарꙋ кꙋницю вѣльѧказа ·д҃· кꙋници · гꙋгморо наволоки кꙋница · ꙋ мѧтещи ·в҃· кꙋници ꙋ вѣльютовꙑхо ·в҃· кꙋници ꙋ воземꙋта ·в҃· кꙋници · ꙋ филипа ·в҃· кꙋници ꙋ намѣста ·в҃· бѣли · ꙋ жидили кꙋница · воликомо ѻстровѣ кꙋница ꙋ вихтимаса ·в҃· бѣлоки · ꙋ гостили ·в҃· кꙋници · ꙋ вѣльюта ·г҃· кꙋници ꙋ лопинкова :ѕ҃: бѣло,XIV_2,novgorod,1370
приказъ ѿ кузми к сину к своѥму к исаку ко оулиѧну и к тимофию соли не купиаи не купѧ с трицѧ тои у мосту а просѧ здѣ соли по семи лубовъ за рубль а наши хотѧ давать а на дн҃ь ни луба не продатьсци а просоле здѣ по пѧти гривонъ бочка,XV_1,staraya-russa,1415
'+ ѿ маноуилѣ · къ събꙑне покланѧние · продалѣ есьмъ · паволокоу ... гривьнъ · -оъ ...,XII_2,torzhok,1190
ѿ степана ко ж... что людѣи м-... даешѥ ѿло... ... оучкли ...,XII_2,pskov,1190
поклоно ѿ григории ко матьри · буди къ мнѣ на борозѣ · во тържеко сопрѧтавоши свои статоко поѣди в торжько · аже застанеше мене ти ѧ тьбе везу или мене не застанешь во торжеку ти тꙑ ту мене жеди а ѧзо по тебе буду само · а цто даше провоза ѧзо во томо до торжеку · увѣдаи пущаю ли роже новогороцамо безо пакости ти тꙑ пришли · на борзѣ ти ѧ само ·ѣ·ду,XIV_1,tver,1310
верхняя часть листакати нижняя часть листа ... а се х... ...менꙑ к...,XV_2,moscow,1475
'+ ѿ говѣновое : ко нѣжьньцю дае : ꙅ҃: десѧ коуно лодиеноую повѣдало говѣно ида на соудо : а попъ ѱл҃ъ : а дае лоуцѣ оли нь водаси то ѧ ꙋ конѧзѧ поема отроко прижь приедю а во боле ти вонидь :,XII_1,zvenigorod,1130
поклонъ ѿ грикши къ ѥсифу приславъ ꙩнаньꙗ молви... ꙗзъ ѥму ѿвѣчалъ не реклъ ми есифъ варити переварꙑ ни на кого ӏ ѡнъ прислалъ къ федосьӏ вари тꙑ пивъ сѣдишь на безатьщинѣ не варишь жита ...,XIV_2,novgorod,1370
...-орс... ...возоу го... ...уки у...,XIV_2,staraya-russa,1350
у хотꙋна сроцеке,XII_2,torzhok,1190
ѿ герасима къ кюриоу ... ...св... ...ѥстьнамое... ...нн... ...атвор... ...поуст-... ...-намопопосо...,XIII_2,pskov,1270
... со давꙑдомо ·г· тꙑсѧце ...,XIV_1,tver,1310
а се кони турабиѥвы а от ѥздовныхъ жеребець ·в҃· конѧ саврасы лошачька ·в҃· сивъ коуро лошачек гнѣд да лошачек кооуръ да другои сивъ оставлен турабьѥвѣ женѣ а страдных лошадѣи двоѥ а троѥ жеребѧтъ лоньских да кобыл страдных же ·ѕ҃· да кобылка лоньскаѧ а всѣх ѣздовных девѧтеро а страдных двоѥнатцатеро двѣ коровы на дворѣ ·в҃· вола а ·ѕ҃· коров ѥго же страдник ѣдѧтъ молок ·г҃· боров в саду и оутича ·еӏ҃· а на погребѣ котел пивнои желѣзен да горнець желѣзен же да вѣдерце мѣдѧно да котел мѣдѧнъ вѣдра въ два да сканець жестѧнъ а стоговъ ·вӏ҃· и стогъ вѣлѣно же турабьѥвѣ челед с людми ѣсти а люди турабьѥвых молодых ѻникѣико молчан игнатко мосѣи баирамъ ахмед ѻнташь жалорь ѥска а страдниковъ ·еӏ҃· созонко мосѣи луховъ ѻртемик ивака чермен родивонко иванець ѧковъко да четыре паропки да ключник а оу тѣх ѥго людеи четверонатцатеро конь а при сох турабьѥвых а коровъ ·ѳ҃· А в дѣлѣ на людех серебра оу григорьѥца полтин оу ѻстафьѥца полтин оу бѣлка полтин оу семенца полтин оу сидора полтин оу мосѣица полтин оу осѣица полтин оу курьѧна полтин а всего серебра на людехъ турабьѥва в дѣлѣ ·д҃· руб а конюх сказываѥтъ суждальскиѥ лошад кобыл бура да ворона да пѣга да рыжа тѣ четыре страдныѥ три же ихъ жеребѧтъ а жеребчики лоньскиѥ ворон да рыжь да чал да сивъ да гнѣд бѣлоногъ да кобылки лоньскиѥ савраса бѣлонога гнѣда бѣлонога же да гнѣда да голуба да мухорта кобылка а страдныѥ карѧ с жеребѧтемъ да вороныхъ кобыл двѣ да сива да ворона же кобыла да жеребчикъ гнѣдъ бѣлоногъ да стара кобыла бура да жеребчикъ четвертак ворон а всѣхъ лошачков и кобыл и жеребѧтъ ѻтдал ѥсмь кощѣю посельского человѣк дватцатеро и шестеро а се дал передъ ѥлбугою перед ыгумном перед федором ылииньским перед климом перед петром перед гурьѥвым Приписка с поворотом на 180 градусов: а ѧзъ взѧл лошачка ·в҃· сивы да рыжь да гнѣд да ворон да жеребчик лоньскои рыжь звѣздка в чел зааромъ а конюховъ ѥсмь вспросил перед ѻлексѥмъ перед оньдрѣѥмъ что из стада лошад не погибло ньдрѣѥво все то имали ѻспода ·р҃·· а ѣда почне передъ ѥлбугою перед а что ѧзъ ѻтдал за м?ною пошло ·ѯ҃· и двоѥ лошад а за мене дашь ·л҃·ро и двоѥ исторою моѥю пошла ·ѳ҃· лошадеи к тобѣ и пошло за иныѥ помора за ѻсподои,XV_1,moscow,1405
а,XII_1,zvenigorod,1130
ѿ микит·ѣ · ко цертоу · цто ѥсм·ь ... ...‐ руцилъ · оу петра · на городищ·ѣ · н... юрги · бꙑлъ · вꙑдалъ · со дворѧ·н... ... не оувѣдалсѧ · а мене вꙑдалъ ... реклъ · ѥси железного · по... рубль взѧв·ъ · а тꙑ на ѻлександрѣ · исправи госп... возми · сапозѣ ·,XIV_1,novgorod,1330
ѿ ... къ ...жирѫ нь възѧль еси во десѧти кѫно ...,XII_2,staraya-russa,1190
... лоубоцеве две гривне возвороти опакꙑ то моне ...,XII_2,torzhok,1190
мои... бꙑн...,XIII_2,smolensk,1290
а оу данихе доубеничи двои сапоги · оу кюрила оу соухмина сн҃а · измазици,XIV_1,pskov,1330
ѿ ѳомѣ · къ тиюнку · къ прокш... кунꙑ · стого ѳилипа · а ѧ...,XIV_1,tver,1310
поѥхали ·є·смꙑ гн҃е на кострому юрьӏ с матьрью насъ гн҃е оуверънулъ взадь а взѧлъ себѣ с матьрью еӏ҃ бѣл ти оувзѧлъ ·г҃· бѣл по томо гн҃е взѧлъ к҃ бѣл да полътину,XIV_2,moscow,1390
поклоно ѿ давꙑда и ѿ есиѳа · къ матѳѣю · постои · за нашего сироту · молви · дворѧнину · павлу · петрову брату дать · грамотѣ · не дасть · на него ·,XIV_1,novgorod,1330
⟦ѿ⟧ ꙋ микꙋле ·е· къ кꙋне · ꙋ стежира ·е· къ кꙋне · ꙋ городила ·е· къ кꙋне · ꙋ пꙋтѧтѣ ⟦десѧть къ кꙋне⟧ полъ пѧте ⟦ꙋ лъбыне ·е⟧ · ꙋ прибꙑле ·е· къ кꙋне ꙋ стороньке ·е· къ кꙋне · ꙋ петра ·е· ⟦г⟧ къ кꙋне ·,XII_2,staraya-russa,1150
за ѳедоро без дꙋ...,XII_2,torzhok,1190
... д е з о и о з е д ...,XII_2,pskov,1190
ѿ илиице · ко илие · шюига дубие переписꙑваете а бцелꙑ ти лазило · ѧзо дубие ѿимаю по своеи мети а тесно сотесꙑваете · то мои дубо · ваше бортико кралосѧ первꙑ · а нꙑне поеди само семо утверди свою борте,XIV_1,tver,1310
поклоно ѿ ѳилипа ко г... ... мною про...,XIV_1,novgorod,1310
ѿ дѣдилѣ къ дьмьѧну не съль отрока еду саме и :в҃: гривьнѣ везу,XII_2,staraya-russa,1150
...бь ѿ но... ...тию и св... ... коуно и ць... ...ва бла...,XIII_1,torzhok,1210
м...,XIII_1,smolensk,1210
ѿ кюрика и ѿ герасима к аноѳимоу про белоу оже ѥсте не стороговале то прислите со проста занода оу насо коуплѧ есте беле а про себе оже боудьше порожне то боуди к намо а намо ксиноѳоноте измакле а про сеи человеко мꙑ ѥго не знаѥмо а во томо божеꙗ волѧ и твоꙗ,XIII_2,pskov,1270
... сочита оу коромана ... ... гривьно сороке лисичь сороке ... ...ко осмь шесть бьбороко ... ...мале п-...,XIII_1,novgorod,1210
ѿ солмира къ нѣжькоу мълъви отрокоу своемоу ати но ходить ... ...,XII_2,staraya-russa,1150
...‐ бѣе нѣ водаси ли а лѧжѣ ти от домитрова дѣни по три рѣзане на месѧце,XII_2,torzhok,1190
пклоно ѿ степана к вацюте что еси взѧле сукна того положено на б҃ь и на тобе вложи его в лодию на борзе а твори своимꙑ сукномо а цто будете наима мꙑ се ведаемо цто,XIII_2,pskov,1290
о сьмнꙋнье къ игꙋчькꙋ чьѧ ти есть корова да молови емꙋ ожь хочьши коровь а едеши по коровꙋ а вьзи три гривьнь,XII_2,novgorod,1190
... ...зке подьлина гвѣздъкѣ великѣѣ жьлътое : оже же еси продала то въдаи семоу дѣтьскамоу не продала то оурѣ‐ ...,XII_2,staraya-russa,1150
'+ ѿ кꙑеѧ покланѧние ко ростили добоуди ми конѧ селема велика добра али ти не пригодитьсѧ селема добра а поло,XII_2,torzhok,1190
исе,XII_2,pskov,1170
`+ ѿ гостѧтꙑ къ васильви еже ми отьць даѧлъ и роди съдаѧли а то за нимь а нꙑнѣ водѧ новоую женоу а мънѣ не въдасть ничьто же избивъ роукꙑ поустилъ же мѧ а иноую поѧлъ доеди добрѣ сътворѧ,XII_2,novgorod,1170
... събислава в... рекоше : оу поутѧтѣ ...,XII_2,staraya-russa,1150
... ѿ дроужине ко гостиле ... ... коупили вьръбѧгоа... ...и коуне во трьте,XII_2,torzhok,1190
есть градъ · межу нобомъ и землею а к ному еде посолъ безъ пути · самъ нимъ везе грамоту непсану ·,XIV_2,novgorod,1370
сь грамота ѿ ѧриль ко онание въ волости твоеи толико вода пити в городищѧньх а рушань скорбꙋ про городищѧне аже хоцьши ополош дворѧн аобꙑша нь пакостил-,XII_2,staraya-russa,1170
'+ ѿ онуѳрьѣ къ матери пошьлъ петръ къ тебе поемъ конь и мѧтьль лазаревъ а воротите конь и мѧтьль а самого посли сѣмо али не послешь а таку же ми вѣсть присли и покланѧю ти сѧ и цѣлую тѧ :,XIII_1,torzhok,1210
· дмитра · гафее · ивана · настасиѧ · · ѧкова · ꙩвдотѣе · микитꙑ · ивана · костѧна · патрикиѧ · варварꙑ · серьгеѧ · максима · федорꙑ · михеѧ · зарее ·,XIII_1,smolensk,1210
поклонъ ѿ смешка фоми цо оставиле воць козе у микишка данилку далъ казанъ ...,XV_1,novgorod,1440
иванѧѧ моловила ѳимь любо коунь восоли пак ли дорго продаю,XII_2,staraya-russa,1170
...е въложи...,XII_2,torzhok,1190
'-,XII_2,smolensk,1150
сидоре · дворѧнъ ꙗколь,XV_1,novgorod,1440
...‐ ю а берита а кето ва не вод... весте а ѧ солю ѧбетенике : а сол... и лонескоую и нꙑнешенюю не леж... емоше жено : а оу прихожано бе... че иже то ти розроубиле ·,XII_2,staraya-russa,1150
...мови... ...изнановѣ... ...е знали ... ... саме ... ...не...,XII_2,torzhok,1190
ѿ ивана ко роусиле вꙑправи ми дъбр... ю ѧрине въземи оу кънъзюѧ грв҃ноу оу нежѧ... али ти не въдасть а въземи въ треть а ѧ ти... ...кь да же ти ми боудете дъбро а присълоу ти ... оже хъчеши пъъне а присъли е челъвек... чи ти поченете четъ лестити ... а не мъзи четъ мълъвити,XII_2,smolensk,1150
,XV_1,novgorod,1440
оу ньжатъкиньӏ :г: кнь : оу ... оу стрѣина :в: кнь : оу ...,XI_2,staraya-russa,1087
