id,url,date,content,carrier,carrier_category,place,text,reconstruction,translation,alphabet,writing_method,position,preservation,date_details,date_justification,comment,clean_text,start_year,end_year,century
1,https://epigraphica.ru/epigraphy/inscription/show/1,1120-1300,Надпись с упоминанием заутрени на праздник Вознесения,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,(…)[ъ на] Возн[ь]с[е]ние,[Такой-то] (писал)ъ на Вознесение (… по за)оутрьнии ( ),,кириллица,граффито,"дияконник, юго-восточный столб, южная грань, 41 см от правого края, 496 см от пола (67 см выше основания креста) ( )",с утратами (50-85%),"З 3 «перелом хвоста» (1140–1340), н 2а «нижние засечки (длинные)» <1400 (1140–1300), у 5 «нижняя засечка» 1180–1400 (1180–1340). Итого: 1180–1400, предпочтительно 1180–1300 гг. ( )",,"«Надпись выделяется своей палеографией. Буква у во второй строке выполнена зеркально, а буква р не имеет нижней части и выглядит как d. Буквы, обозначенные в тексте как [ ь ] и [ е ], в слове Возн[ь]с[е]ние , похожи друг на друга, а буква е на конце слова похожа на [ е ]: конечная е имеет длинную нижнюю засечку, доходящую до язычка буквы; буква [ е ] отличается от е отсутствием верхней засечки; [ ь ] отличается от [ е ] вертикальным верхом и опущенным «язычком» (т. е. верхним штрихом петли, если считать эту букву ерем). По-видимому, автор надписи, использовавший бытовую графическую систему со смешением е и ь , смешивал эти графемы и на уровне начертания. Текст реконструируется: [Такой-то] (писал)ъ на Возньсение | (… по за)оутрьнии , т. е. надпись была выполнена после утренней службы в праздник Вознесения, отмечаемый в 40-й день по Пасхе (ср. № 3). Судя по длине строк, в начале второй строки могло стоять определение Гc҃дне . Выше надписи видна правая часть строки из вертикальных штрихов. Подобные «частоколы» обыкновенно трактуются как обозначения числа заказных поминальных служб по умершим» ( )",[GAP] ъ на Возньсение,1120.0,1300.0,13.0
3,https://epigraphica.ru/epigraphy/inscription/show/3,[1180–1200],Молитва об Олекше Микитиниче,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ги҃ пом(о)зи ра[б](оу),,"‘Господи, помоги рабу своему Олекше Микитиничу, брату Надеи (или: Надея)! Писал на Рождество святой Богородицы, восьмого [сентября]’. ( )",кириллица,граффито,"диаконник, юго-восточный столб, южная грань, 42 см от правого края, 483 см от пола (54 см выше основания креста) ( )",с небольшими утратами (>85%),"Е 5 «язычок вверх» 1300> (1380>) (!), у 5 «нижняя засечка» 1180–1400 (1180–1340), оу II «уменьшенное о» <1220 (<1200); язык: редуцированные сохранены <1220 (1×). Итого: [1180–1220], предпочт. [1180–1200] гг. ( )",,"«Надпись выполнена 8 сентября, на Рождество Богородицы —престольный праздник монастырского собора. Буква ж в слове Рожь[с](тво) имеет нестандартный облик с очень длинными засечками. Над буквами ста в слове статье <святѣи> ‘святой' могло стоять титло, уничтоженное сколом. Буквы та в этом слове лишние. Возможно, автор надписи начал писать слово ст҃аго <святаго> (святого), но, спохватившись, дописал правильное окончание. Имя Олькошь имеет новгородское диалектное окончание дат. ед. -ѣ (-ь в бытовой орфографии). Справа от первого ь в этом слове находится короткий вертикальный штрих, вероятно объясняющийся выпадением соломинки из фресковой штукатурки. Отчество Олекши восстанавливается в народном варианте с начальным М- , естественном в сочетании с гипокористической (уменьшительной) формой имени. В берестяных грамотах каноническое имя Никита и его производные представлены исключительно в такой форме. Чтение третьей буквы отчества как х ( Михитиничоу ), предложенное в первой публикации, дополнительным изучением оригинала не подтвердилось. Имя брата писавшего, реконструированное в первой публикации как Надѣи , могло быть также Надѣя . Палеографически это даже более вероятно: длинный горизонтальный штрих перед оу в верху строки мог быть засечкой буквы н в На|[д]-(и)[н]оу . Ср. старорусское имя Надѣя , отчество Надѣинъ и совр. топонимы Надеино в Московской, Рязанской и Калужской областях. Буква после ѱ в четвертой строке определяется неоднозначно. В первой публикации она была трактована как е , а последовательность ѱелъ — как результат исправления диалектного окончания - е в < пьсале > на книжное - ъ . В пользу такой интерпретации говорит наличие словоформы писале с тем же диалектным окончанием в находящемся рядом граффито № 9, а также сходный механизм исправления начатого ста на ст҃атье <святѣи> . Нельзя исключать, однако, что эта буква, отличная по начертанию от двух бесспорных е в данной надписи, представляет собой в действительности с с дважды прочерченной по ошибке засечкой; в таком случае перед нами словоформа ѱслъ , с нередким в новгородской эпиграфике избыточным с . В словах в=асьмыи перед нами один из ранних примеров перехода ъо → а . Левее надписи — отдельная буква а » ( ).",Ги҃ помози рабоу,1180.0,1200.0,12.0
6,https://epigraphica.ru/epigraphy/inscription/show/6,1120–1320→,Незаконченная молитвенная надпись,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ги҃ помози раб,,"‘Господи, помоги рабу...’",кириллица,граффито,"дьяконник, юго-восточный столб, южная грань, 32 см от правого края, 444 см от пола (15 см выше основания креста) ( )",целая (100%),"до [1420], предпочт. [1120–1320] гг. ( )",,,Ги҃ помози раб,1120.0,1320.0,13.0
26,https://epigraphica.ru/epigraphy/inscription/show/26,1740–1920,Цитата из Пс. 103: 18,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,камень при[б]ѣжи[щ]е,,‘Камень – прибежище зайцам’ ( ),кириллица ( ),граффито,"Лестничная башня, столб, над третьей площадкой (48-й ступенью), у правого края площадки, 180 см над площадкой. ( )",с небольшими утратами (>85%),,,,камень прибѣжище,1740.0,1920.0,19.0
47,https://epigraphica.ru/epigraphy/inscription/show/47,1190-1225,Подпись к изображению сюжета о свержении Сатаны архангелом Михаилом Монограмма Иисуса Христа на щите в руках у архангела,Южные врата Рождественского собора в Суздале,церковные врата,Собор Рождества Пресвятой Богородицы,text 1с҇сото|im.|на архнгл҇мьМи̇хаилъмь со|im.|остꙋпнꙑ⸗ми ѥ̇го сила·|im.|ми и̇бѣси наре|im.|ченибꙑша ~text 2Іс҃ Хс҃,,,кириллица кириллица ( ),золотая наводка,"левая створка, клеймо 2 ( )",целая (100%),,,,с҇сото [GAP] на архнгл҇мьМи̇хаилъмь со [GAP] остꙋпнꙑми ѥ̇го сила · [GAP] ми и̇бѣси наре [GAP] ченибꙑша ~ Іс҃ Хс҃,1190.0,1225.0,13.0
48,https://epigraphica.ru/epigraphy/inscription/show/48,1190-1225,Подпись к изображению сотворения Адама,Южные врата Рождественского собора в Суздале,церковные врата,Собор Рождества Пресвятой Богородицы,сътвори Бъ҃ · чл҃вка по ѡ̇бра⸗с҇ чл҃вкъ ·въ дш҃ю|im.|живꙋ ~,,,кириллица кириллица ( ),золотая наводка,"правая створка, клеймо 1 ( )",целая (100%),,,,сътвори Бъ҃ · чл҃вка по ѡ̇брас҇ чл҃вкъ · въ дш҃ю [GAP] живꙋ ~,1190.0,1225.0,13.0
50,https://epigraphica.ru/epigraphy/inscription/show/50,1190-1225,Подпись к изображению трудов Адама,Южные врата Рождественского собора в Суздале,церковные врата,Собор Рождества Пресвятой Богородицы,архистратига Михаилатисꙗ о⸗с(ꙋ)женъ бꙑс҇⁘ ~,,,кириллица кириллица ( ),золотая наводка,"левая створка, клеймо 3 ( )",целая (100%),,,,архистратига Михаилатисꙗ осꙋженъ бꙑс҇ ⁘ ~,1190.0,1225.0,13.0
52,https://epigraphica.ru/epigraphy/inscription/show/52,1190-1225,Подпись к изображению убийства Авеля,Южные врата Рождественского собора в Суздале,церковные врата,Собор Рождества Пресвятой Богородицы,ꙋ̇биваѥ̇тъ · Каинъ ·,,,кириллица кириллица ( ),золотая наводка,"правая створка, клеймо 3 ( )",целая (100%),,,,ꙋ̇биваѥ̇тъ · Каинъ ·,1190.0,1225.0,13.0
54,https://epigraphica.ru/epigraphy/inscription/show/54,1190-1225,Подпись к изображению сна Иакова,Южные врата Рождественского собора в Суздале,церковные врата,Собор Рождества Пресвятой Богородицы,видѣ И̇ꙗковъ лѣстви⸗|im.|хожахꙋ по неи̇и Гь҃ ·ꙋ̇кр|im.|ѣплѧшесѧ нанихъ ~,,,кириллица кириллица ( ),золотая наводка,"левая створка, клеймо 5 ( )",целая (100%),,,,видѣ И̇ꙗковъ лѣстви [GAP] хожахꙋ по неи̇и Гь҃ · ꙋ̇кр [GAP] ѣплѧшесѧ нанихъ ~,1190.0,1225.0,13.0
55,https://epigraphica.ru/epigraphy/inscription/show/55,1190-1225,Подпись к изображению борьбы Иакова с ангелом,Южные врата Рождественского собора в Суздале,церковные врата,Собор Рождества Пресвятой Богородицы,архангелъ Гн҃ь борет(сѧ),,,кириллица кириллица ( ),золотая наводка,"левая створка, клеймо 6 ( )",целая (100%),,,,архангелъ Гн҃ь боретсѧ,1190.0,1225.0,13.0
