id,url,date,content,carrier,carrier_category,place,text,reconstruction,translation,alphabet,writing_method,position,preservation,date_details,date_justification,comment
1,https://epigraphica.ru/epigraphy/inscription/show/1,1120-1300,Надпись с упоминанием заутрени на праздник Вознесения,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,(…)[ъ на] Возн[ь]с[е]ние,[Такой-то] (писал)ъ на Вознесение (… по за)оутрьнии ( ),,кириллица,граффито,"дияконник, юго-восточный столб, южная грань, 41 см от правого края, 496 см от пола (67 см выше основания креста) ( )",с утратами (50-85%),"З 3 «перелом хвоста» (1140–1340), н 2а «нижние засечки (длинные)» <1400 (1140–1300), у 5 «нижняя засечка» 1180–1400 (1180–1340). Итого: 1180–1400, предпочтительно 1180–1300 гг. ( )",,"«Надпись выделяется своей палеографией. Буква у во второй строке выполнена зеркально, а буква р не имеет нижней части и выглядит как d. Буквы, обозначенные в тексте как [ ь ] и [ е ], в слове Возн[ь]с[е]ние , похожи друг на друга, а буква е на конце слова похожа на [ е ]: конечная е имеет длинную нижнюю засечку, доходящую до язычка буквы; буква [ е ] отличается от е отсутствием верхней засечки; [ ь ] отличается от [ е ] вертикальным верхом и опущенным «язычком» (т. е. верхним штрихом петли, если считать эту букву ерем). По-видимому, автор надписи, использовавший бытовую графическую систему со смешением е и ь , смешивал эти графемы и на уровне начертания. Текст реконструируется: [Такой-то] (писал)ъ на Возньсение | (… по за)оутрьнии , т. е. надпись была выполнена после утренней службы в праздник Вознесения, отмечаемый в 40-й день по Пасхе (ср. № 3). Судя по длине строк, в начале второй строки могло стоять определение Гc҃дне . Выше надписи видна правая часть строки из вертикальных штрихов. Подобные «частоколы» обыкновенно трактуются как обозначения числа заказных поминальных служб по умершим» ( )"
2,https://epigraphica.ru/epigraphy/inscription/show/2,[1160–1380],Фрагментированная надпись,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,…м…,,,кириллица,граффито,"диаконник, юго-восточный столб, южная грань, 46 см от правого края, 491 см от пола (62 см выше основания креста) ( )",малый фрагмент (<15%),"А 5 «зеркальные» 1140–1380 (1160–1380). Итого: [1140–1380], предпочт. [1160–1380] ( )",,
3,https://epigraphica.ru/epigraphy/inscription/show/3,[1180–1200],Молитва об Олекше Микитиниче,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ги҃ пом(о)зи ра[б](оу),,"‘Господи, помоги рабу своему Олекше Микитиничу, брату Надеи (или: Надея)! Писал на Рождество святой Богородицы, восьмого [сентября]’. ( )",кириллица,граффито,"диаконник, юго-восточный столб, южная грань, 42 см от правого края, 483 см от пола (54 см выше основания креста) ( )",с небольшими утратами (>85%),"Е 5 «язычок вверх» 1300> (1380>) (!), у 5 «нижняя засечка» 1180–1400 (1180–1340), оу II «уменьшенное о» <1220 (<1200); язык: редуцированные сохранены <1220 (1×). Итого: [1180–1220], предпочт. [1180–1200] гг. ( )",,"«Надпись выполнена 8 сентября, на Рождество Богородицы —престольный праздник монастырского собора. Буква ж в слове Рожь[с](тво) имеет нестандартный облик с очень длинными засечками. Над буквами ста в слове статье <святѣи> ‘святой' могло стоять титло, уничтоженное сколом. Буквы та в этом слове лишние. Возможно, автор надписи начал писать слово ст҃аго <святаго> (святого), но, спохватившись, дописал правильное окончание. Имя Олькошь имеет новгородское диалектное окончание дат. ед. -ѣ (-ь в бытовой орфографии). Справа от первого ь в этом слове находится короткий вертикальный штрих, вероятно объясняющийся выпадением соломинки из фресковой штукатурки. Отчество Олекши восстанавливается в народном варианте с начальным М- , естественном в сочетании с гипокористической (уменьшительной) формой имени. В берестяных грамотах каноническое имя Никита и его производные представлены исключительно в такой форме. Чтение третьей буквы отчества как х ( Михитиничоу ), предложенное в первой публикации, дополнительным изучением оригинала не подтвердилось. Имя брата писавшего, реконструированное в первой публикации как Надѣи , могло быть также Надѣя . Палеографически это даже более вероятно: длинный горизонтальный штрих перед оу в верху строки мог быть засечкой буквы н в На|[д]-(и)[н]оу . Ср. старорусское имя Надѣя , отчество Надѣинъ и совр. топонимы Надеино в Московской, Рязанской и Калужской областях. Буква после ѱ в четвертой строке определяется неоднозначно. В первой публикации она была трактована как е , а последовательность ѱелъ — как результат исправления диалектного окончания - е в < пьсале > на книжное - ъ . В пользу такой интерпретации говорит наличие словоформы писале с тем же диалектным окончанием в находящемся рядом граффито № 9, а также сходный механизм исправления начатого ста на ст҃атье <святѣи> . Нельзя исключать, однако, что эта буква, отличная по начертанию от двух бесспорных е в данной надписи, представляет собой в действительности с с дважды прочерченной по ошибке засечкой; в таком случае перед нами словоформа ѱслъ , с нередким в новгородской эпиграфике избыточным с . В словах в=асьмыи перед нами один из ранних примеров перехода ъо → а . Левее надписи — отдельная буква а » ( )."
4,https://epigraphica.ru/epigraphy/inscription/show/4,←1400–1440,Молитва о Михале,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,пом[и]-у раба М[и]⸗,,‘Помилуй раба Михалу (или: Михайлу)!’ ( ),кириллица,граффито,"дьяконник, юго-восточный столб, южная грань, 46 см от правого края, 475 см от пола (46 см выше основания креста) ( )",с небольшими утратами (>85%),[1400–1440] гг. ( ),,
5,https://epigraphica.ru/epigraphy/inscription/show/5,1120–1500,Незаконченная молитвенная надпись,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ги҃ пм,,,кириллица,граффито,"дьяконник, юго-восточный столб, южная грань, 46 см от левого края, 469 см от пола (40 см выше основания креста) ( )",целая (100%),"«Недостаточно оснований для палеографической датировки; вероятно, надпись выполнена между XII и XV вв., как и другие соседние граффити». ( )",,
6,https://epigraphica.ru/epigraphy/inscription/show/6,1120–1320→,Незаконченная молитвенная надпись,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ги҃ помози раб,,"‘Господи, помоги рабу...’",кириллица,граффито,"дьяконник, юго-восточный столб, южная грань, 32 см от правого края, 444 см от пола (15 см выше основания креста) ( )",целая (100%),"до [1420], предпочт. [1120–1320] гг. ( )",,
7,https://epigraphica.ru/epigraphy/inscription/show/7,1120–1500,Незаконченная молитвенная надпись,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ги помо⸗,,"‘Господи, помоги.’",кириллица,граффито,"дьяконник, юго-восточный столб, южная грань, 36 см от левого края, 432 см от пола (3 см выше основания креста) ( )",целая (100%),"«Недостаточно оснований для палеографической датировки; надпись выполнена между XII и XV вв., как и другие соседние граффити». ( )",,
8,https://epigraphica.ru/epigraphy/inscription/show/8,1120–1300,Запись отдельных букв,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,text 1:text 2:зtext 3:Зtext 4:Зtext 5:О,,,кириллица,граффито,"дьяконник, юго-восточный столб, южная грань: текст 1 — 31 см от левого края, 441 см от пола (12 см выше основания креста); текст 2 — 30 см от левого края, 415 см от пола; текст 3 — 45 см от левого края, 423 см от пола; текст 4 — по центру грани (57 см от левого края и 57 см от правого края), 424 см от пола; текст 5 — 41 см от правого края, 406 см от пола (23 см ниже основания креста) ( )",целая (100%),«Инициалы подобного облика встречаются в XII–XIV вв. Ярко выраженный правонаклонный облик букв /З/ заставляет предпочесть датировку XII в. или XII–XIII вв.» ( ),,
9,https://epigraphica.ru/epigraphy/inscription/show/9,1120–1220→,Автограф Головка (?),Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Го(--)⸗,,‘Головко (?) писал…’ ( ),кириллица,граффито,"дьяконник, юго-восточный столб, южная грань, 47 см от правого края, 421 см от пола (8 см ниже основания креста) ( )",с небольшими утратами (>85%),"[1140–1380], предпочт. [1160–1220] ( )",,
10,https://epigraphica.ru/epigraphy/inscription/show/10,1280-1400,Надпись с именем «Марко»,Стены церкви Рождества Богородицы Антониева монастыря,стена церкви,Церковь Рождества Богородицы Антониева монастыря,Ма⸗,,‘Марко’ ( ),кириллица,граффито,"дьяконник, южная стена, лопатка, западная грань, 6 см от левого края, 511 см от пола ( )",целая (100%),"после 1140, предпочтительно после 1280 ( )",,
