Filename,Original_Title,Language,Epoch,Area,Lines,Tokens
001_Zografsko_Evangelie.txt,Zografsko Evangelie,Old Church Slavonic,Old Church Slavonic,"Zograph Monastery, Bulgaria",16,1345
002_Slovo_za_veliki_Petăk.txt,Slovo za veliki Petăk,Old Church Slavonic,Old Church Slavonic,Bulgaria,16,1107
003_Mariinsko_evangelie.txt,Mariinsko evangelie,Old Church Slavonic,Old Church Slavonic,Bulgaria or Macedonia,637,66857
004_Sinajski_Psaltir.txt,Sinajski Psaltir,Old Church Slavonic,Old Church Slavonic,"Saint Catherine's Monastery, Sinai Peninsula, Egypt",3,274
005_Suprasălski_sbornik.txt,Suprasălski sbornik,Old Church Slavonic,Old Church Slavonic,"Supraśl, Poland",999,125330
006_Novgorod_service_book_marginalia.txt,Novgorod service book marginalia,Old Russian,Old Church Slavonic,,2,117
007_Colophon_to_the_Ostromir_Codex.txt,Colophon to the Ostromir Codex,Old Russian,Church Slavonic,,3,244
008_Mstislav_s_letter.txt,Mstislav’s letter,Old Russian,Church Slavonic,,2,188
009_The_Primary_Chronicle_Codex_Laurentianus.txt,"The Primary Chronicle, Codex Laurentianus",Old Church Slavonic,Church Slavonic,"Lavra (Kyiv Pechersk Lavra), Ukraine",607,62372
010_Pooučenie_na_pamjat_stouju_vr_chov_njuju_apostolou.txt,Pooučenie na pamjat' stouju vr'chov'njuju apostolou Petra i Pavla,Old Russian,Church Slavonic,Russia,12,402
011_Zapovědaniě_o_prazd_nicěchă.txt,Zapovědaniě o prazd'nicěchă,Old Russian,Church Slavonic,Russia,15,681
012_The_tale_of_Igor_s_campaign.txt,The tale of Igor’s campaign,Old East Slavic,Church Slavonic,,35,2800
013_Slovo_pochvlal_no_na_pamjat_styima_i_prěslav_nyima.txt,Slovo pochvlal'no na pamjat' styima i prěslav'nyima oučitelema clověn'skou jazykou,Old Russian,Church Slavonic,Russia,125,3822
014_Pooučenie_na_stǫjǫ_paschǫ.txt,Pooučenie na stǫjǫ paschǫ,Old Russian,Church Slavonic,Russia,14,698
