Filename,Title,Raw_Language,Raw_Epoch,Original_Date_Str,Y_min,Y_max,Target_Year,Source
001_Zografsko_Evangelie.txt,Zografsko Evangelie,Old Church Slavonic,Old Church Slavonic,10th,901,1000,950,https://github.com/torottreebank/treebank-releases/blob/master/zogr.conll
002_Slovo_za_veliki_Petăk.txt,Slovo za veliki Petăk,Old Church Slavonic,Old Church Slavonic,10th,901,1000,950,https://histdict.uni-sofia.bg/textcorpus/show/doc_102
003_Mariinsko_evangelie.txt,Mariinsko evangelie,Old Church Slavonic,Old Church Slavonic,11th,1001,1100,1050,https://github.com/proiel/proiel-treebank/blob/master/marianus.conll
004_Sinajski_Psaltir.txt,Sinajski Psaltir,Old Church Slavonic,Old Church Slavonic,11th,1001,1100,1050,https://github.com/torottreebank/treebank-releases/blob/master/psal-sin.conll
005_Suprasălski_sbornik.txt,Suprasălski sbornik,Old Church Slavonic,Old Church Slavonic,11th,1001,1100,1050,https://github.com/torottreebank/treebank-releases/blob/master/supr.conll
006_Novgorod_service_book_marginalia.txt,Novgorod service book marginalia,Old Russian,Old Church Slavonic,11th,1001,1100,1050,https://github.com/torottreebank/treebank-releases/blob/master/nov-marg.conll
007_Colophon_to_the_Ostromir_Codex.txt,Colophon to the Ostromir Codex,Old Russian,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/ostromir-col.conll
008_Mstislavs_letter.txt,Mstislav’s letter,Old Russian,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/mst.conll
009_The_Primary_Chronicle_Codex_Laurentianus.txt,"The Primary Chronicle, Codex Laurentianus",Old Church Slavonic,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/lav.conll
010_Pooučenie_na_pamjat_stouju_vrchovnjuju_apostolou_Petra_i_Pavla.txt,Pooučenie na pamjat' stouju vr'chov'njuju apostolou Petra i Pavla,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_115
011_Zapovědaniě_o_prazdnicěchă.txt,Zapovědaniě o prazd'nicěchă,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_113
012_The_tale_of_Igors_campaign.txt,The tale of Igor’s campaign,Old East Slavic,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/spi.conll
013_Slovo_pochvlalno_na_pamjat_styima_i_prěslavnyima_oučitelema_clověnskou_jazykou.txt,Slovo pochvlal'no na pamjat' styima i prěslav'nyima oučitelema clověn'skou jazykou,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_117
014_Pooučenie_na_stǫjǫ_paschǫ.txt,Pooučenie na stǫjǫ paschǫ,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_128
015_Poučenie_pred_pričastie.txt,Poučenie pred pričastie,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_129
016_Pooučenie_na_stǫjǫ_paschǫ.txt,Pooučenie na stǫjǫ paschǫ,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_118
017_Učitelno_evangelie.txt,Učitelno evangelie,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_154
018_Varlaams_donation_charter_to_the_Xutyn_monastery.txt,Varlaam’s donation charter to the Xutyn monastery,Old Russian,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/varlaam.conll
019_Statute_of_Prince_Vladimir.txt,Statute of Prince Vladimir,Old Russian,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/ust-vlad.conll
020_Colophon_to_Mstislavs_Gospel_book.txt,Colophon to Mstislav’s Gospel book,Old Russian,Church Slavonic,12th,1101,1200,1150,https://github.com/torottreebank/treebank-releases/blob/master/mstislav-col.conll
021_Kratăk_Zlatostruj.txt,Kratăk Zlatostruj,Old Russian,Church Slavonic,12th,1101,1200,1150,https://histdict.uni-sofia.bg/textcorpus/show/doc_239
022_The_First_Novgorod_Chronicle_Synodal_manuscript.txt,"The First Novgorod Chronicle, Synodal manuscript",Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/nov-sin.conll
023_Novgorods_treaty_with_Grand_Prince_Jaroslav_Jaroslavich_1266.txt,"Novgorod’s treaty with Grand Prince Jaroslav Jaroslavich, 1266",Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/novgorod-jaroslav.conll
024_Uspenskij_sbornik.txt,Uspenskij sbornik,Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/usp-sbor.conll
025_The_Kiev_Chronicle_Codex_Hypatianus.txt,"The Kiev Chronicle, Codex Hypatianus",Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/kiev-hyp.conll
026_The_1229_Treaty_between_Smolensk_Riga_and_Gotland_version_A.txt,"The 1229 Treaty between Smolensk, Riga and Gotland (version A)",Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/riga-goth.conll
027_SLOVO_OUPATIJA_jefesăkago.txt,SLOVO OUPATIJA jefesăkago,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_5
028_Slovo_stgo_Polouta_Rimskago_o_tkovanii_danilově.txt,Slovo stgo Polouta Rim'skago o t'kovanii danilově,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_6
029_A_ce_tkovanie_danilovo.txt,A ce t'kovanie danilovo,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_7
030_Viděnije_Danila_Propoka_o_crěch_i_poslědnich_dnech_i_o_končině_věka.txt,Viděnije Danila Propoka o crěch' i poslědnich' dnech' i o končině věka,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_13
031_Stago_Metodija_Jepiskoupa_Patrskago_Oukazanie_istoje_o_crěch_i_o_poslědnich_dnech_i_lětchă.txt,Stago Metodija Jepiskoupa Patr'skago Oukazanie istoje o crěch' i o poslědnich' dnech' i lětchă,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_14
032_Stich_videnije_Danila_prorka.txt,Stich' videnije Danila pr(o)rka,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_16
033_Viděnije_Isaie_Prorka_o_poslědnem_vrěmeni_čto_choščhet_byti_rodou_človčju_poslědnemou_kolěnou.txt,Viděnije Isaie Pro(r)ka o poslědnem' vrěmeni [č]to choščhet' byti rodou člo[v]čju poslědnemou kolěnou,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_17
034_Pandechovo_prorčskoje_skazanie.txt,Pan'dechovo pr(o)rč'skoje skazanie,Old Serbian,Church Slavonic,third quarter of the 13th,1251,1325,1288,https://histdict.uni-sofia.bg/textcorpus/show/doc_18
035_Russkaja_Pravda.txt,Russkaja Pravda,Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/rusprav.conll
036_Missive_from_the_Archbishop_of_Riga_to_the_Prince_of_Smolensk_Old_Church_Slavonic_Treebank.txt,"Missive from the Archbishop of Riga to the Prince of Smolensk, Old Church Slavonic Treebank",Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/rig-smol1281.conll
037_Birchbark_letters.txt,Birchbark letters,Old Russian,Church Slavonic,13th,1201,1300,1250,https://github.com/torottreebank/treebank-releases/blob/master/birchbark.conll
038_Mesecă_oktjabr_fei_den_Pamjat_podrobnago_otza_ioanna_pustynnika.txt,Mesecă oktjabr' fei den' Pamjat' podrobnago otza ioanna pustynnika,Middle Bulgarian,Church Slavonic,13th,1201,1300,1250,https://histdict.uni-sofia.bg/textcorpus/show/doc_34
039_Pochvalno_slovo_za_sv_Kiril.txt,Pochvalno slovo za sv. Kiril,Middle Bulgarian,Church Slavonic,13th,1201,1300,1250,https://histdict.uni-sofia.bg/textcorpus/show/doc_57
040_Kanon_za_polagane_rizata_i_pojasa_na_Sv_Borodica.txt,Kanon za polagane rizata i pojasa na Sv. Borodica,Middle Bulgarian,Church Slavonic,13th,1201,1300,1250,https://histdict.uni-sofia.bg/textcorpus/show/doc_58
041_Pochvala_na_prěstavlenie_prěstyja_bzja.txt,Pochvala na prěstavlenie prěstyja bzja,Old Serbian,Church Slavonic,13th,1201,1300,1250,https://histdict.uni-sofia.bg/textcorpus/show/doc_112
042_Položenie_rizě_i_poěsou_prěstyja_bcja.txt,Položenie rizě i poěsou prěstyja bcja,Middle Bulgarian,Church Slavonic,13th,1201,1300,1250,https://histdict.uni-sofia.bg/textcorpus/show/doc_122
043_Pochvala_na_prěstavlenie_vlačicja_našeja_bcja_i_prisno_dvy_Marija.txt,Pochvala na prěstavlenie vlačicja našeja bcja i prisno dvy Marija,Old Serbian,Church Slavonic,13th,1201,1300,1250,https://histdict.uni-sofia.bg/textcorpus/show/doc_127
