Folder,Filename,Lines,Tokens
CHURCH,Jitie_Aleksandra_Nevskogo.txt,157,3040
CHURCH,hozdenia_igumena_danila.txt,1121,20969
CHURCH,hozdenie_bogorodici_po_mukam.txt,252,4271
CHURCH,inoe_vidinie.txt,18,432
CHURCH,kniga_enoha.txt,471,9811
CHURCH,povest_o_bese.txt,95,1443
CHURCH,povest_o_chudesnom_vidinie_v_niznem_novgorode.txt,71,1248
CHURCH,povest_o_videnii_vo_vladimire.txt,26,532
CHURCH,povest_o_vidinie_inoku_varlaamu.txt,58,1431
CHURCH,skazania_avraamia_palicina_ob_osade_troice_sergeivo_monastiria.txt,1318,27439
CHURCH,slovo_o_soshestvii.txt,236,3738
CHURCH,vidinia_emphimiya_chakoyskogo.txt,253,4646
CHURCH,vidinie_nekomu_muzhu_duchovnomu.txt,58,1368
LIT,1_poslanie_groznogo.txt,492,12063
LIT,1_poslanie_kurbskogo.txt,25,823
LIT,2_poslanie_groznogo.txt,67,1286
LIT,2_poslanie_kurbskogo.txt,16,603
LIT,3_poslanie_kurbskogo.txt,135,4479
LIT,Pamyat_i_pohvala_Vladimiru.txt,99,2663
LIT,Povest_o_razorenii_Ryazani.txt,212,3771
LIT,Slovo_o_pogibeli_zemli.txt,9,293
LIT,Slovo_o_zakone_i_blagodati.txt,336,8420
LIT,afanasii_nikitin_za_3_moria.txt,467,8724
LIT,otvet_yanu_rokete.txt,738,15626
LIT,poslanie_aleksandru_polubenskomy.txt,92,2953
LIT,poslanie_angliyskoy_koroleve.txt,54,1568
LIT,poslanie_polskomu_korolu.txt,41,1276
LIT,poslanie_polskomu_korolu_2.txt,314,9560
LIT,poslanie_shvedskomu_korolu.txt,28,833
LIT,poslanie_shvedskomu_korolu2.txt,169,4419
LIT,poslanie_v_kirilo_belezerkiy_monastir.txt,293,6002
LIT,poslanie_vasiliu_griaznomu.txt,24,491
LIT,skazanie_o_mamaevom_pobojishche.txt,610,13398
LIT,slovo_daniila_zatochnika.txt,156,2474
LIT,slovo_o_polku_igoreve.txt,197,3501
LIT,sochinenia_maksima_greka.txt,256,7496
DAILY,berestianie_gramoty.txt,159,1755
DAILY,beseda_otza_s_sinom_o_zenskoi_zlobe.txt,252,5639
DAILY,povest_o_karpe_sutulove.txt,164,3063
DAILY,slovo_o_chmele.txt,32,641
DAILY,slovo_o_sliz_zenah.txt,49,729
LEGAL,russkaya_pravda_kratkaya.txt,75,1307
LEGAL,russkaya_pravda_prostrannaya.txt,255,4844
LEGAL,sobornoe_izlozhenie.txt,2423,99471
LEGAL,sudebnic_1497.txt,190,4506
LEGAL,sudebnic_1550.txt,480,12442
SCIENCE,fiziolog.txt,212,2522
SCIENCE,iz_izbornika_1976.txt,867,15108
SCIENCE,shestodnev_ioanna_ekzarha.txt,109,2463
EPIC,aleksandria.txt,2226,38634
EPIC,devgenievo_deyanie.txt,526,9301
EPIC,iz_troyanskoi_istorii.txt,363,9888
EPIC,povest-o-eruslane-lazareviche.txt,637,11051
EPIC,povest-o-petre-zlatyh-klyuchej.txt,1180,24989
EPIC,povest_o_bobe_koroleviche.txt,833,12903
EPIC,povest_ob_akire_premudrom.txt,561,9107
EPIC,skazania_ob_indiyskov_tzarstve.txt,78,1591
EPIC,stefanit_i_ihnilat.txt,1160,17840
